lag_samples,lag_ms,correlation_i64f64,noise_type,signal_amplitude
0,0.0000,0.859979685269423,COLORED_1f2,150.0
1,0.2441,-0.864975010726888,COLORED_1f2,150.0
2,0.4883,0.869980877335222,COLORED_1f2,150.0
3,0.7324,-0.874978439787085,COLORED_1f2,150.0
4,0.9766,0.879981067968747,COLORED_1f2,150.0
5,1.2207,-0.884977639372685,COLORED_1f2,150.0
6,1.4648,0.889982142136302,COLORED_1f2,150.0
7,1.7090,-0.894978421986083,COLORED_1f2,150.0
8,1.9531,0.899983257719303,COLORED_1f2,150.0
9,2.1973,-0.904978694053932,COLORED_1f2,150.0
10,2.4414,0.909982208865493,COLORED_1f2,150.0
11,2.6855,-0.914978624640723,COLORED_1f2,150.0
12,2.9297,0.919982854685630,COLORED_1f2,150.0
13,3.1738,-0.924981869310589,COLORED_1f2,150.0
14,3.4180,0.929979872479686,COLORED_1f2,150.0
15,3.6621,-0.934983971826750,COLORED_1f2,150.0
16,3.9062,0.939981968783610,COLORED_1f2,150.0
17,4.1504,-0.944984598833282,COLORED_1f2,150.0
18,4.3945,0.949981425353287,COLORED_1f2,150.0
19,4.6387,-0.954985498250815,COLORED_1f2,150.0
20,4.8828,0.959981852543997,COLORED_1f2,150.0
21,5.1270,-0.964983673340963,COLORED_1f2,150.0
22,5.3711,0.969986150235514,COLORED_1f2,150.0
23,5.6152,-0.974983899569575,COLORED_1f2,150.0
24,5.8594,0.979985249403550,COLORED_1f2,150.0
25,6.1035,-0.984985697464934,COLORED_1f2,150.0
26,6.3477,0.989985458782297,COLORED_1f2,150.0
27,6.5918,-0.994986573713284,COLORED_1f2,150.0
28,6.8359,0.999984062399404,COLORED_1f2,150.0
29,7.0801,-0.994987595968590,COLORED_1f2,150.0
30,7.3242,0.989984212906141,COLORED_1f2,150.0
31,7.5684,-0.984988742874557,COLORED_1f2,150.0
32,7.8125,0.979987601950944,COLORED_1f2,150.0
33,8.0566,-0.974986356084626,COLORED_1f2,150.0
34,8.3008,0.969989305386981,COLORED_1f2,150.0
35,8.5449,-0.964987948310923,COLORED_1f2,150.0
36,8.7891,0.959991041555348,COLORED_1f2,150.0
37,9.0332,-0.954990477573492,COLORED_1f2,150.0
38,9.2773,0.949991644123464,COLORED_1f2,150.0
39,9.5215,-0.944992708548668,COLORED_1f2,150.0
40,9.7656,0.939990938297710,COLORED_1f2,150.0
41,10.0098,-0.934993587333174,COLORED_1f2,150.0
42,10.2539,0.929991746887266,COLORED_1f2,150.0
43,10.4980,-0.924991703061810,COLORED_1f2,150.0
44,10.7422,0.919992530622097,COLORED_1f2,150.0
45,10.9863,-0.914992436224698,COLORED_1f2,150.0
46,11.2305,0.909991293753888,COLORED_1f2,150.0
47,11.4746,-0.904990468886465,COLORED_1f2,150.0
48,11.7188,0.899991579643780,COLORED_1f2,150.0
49,11.9629,-0.894988884514992,COLORED_1f2,150.0
50,12.2070,0.889987762981102,COLORED_1f2,150.0
SUMMARY,SUMMARY,0.999984062399404,PEAK_LAG_28_SIGMA_172384.22
