method,requires_template,max_correlation,detection_success
Matched Filter,YES,1.000479,SUCCESS
Template-Free (Cross-Correlation),NO,0.998663,SUCCESS

Template-Free Cross-Correlations:
lag_samples,correlation_i64f64
0,0.858268993228459
1,-0.863270557678685
2,0.868302662365187
3,-0.873361005333963
4,0.878414248737208
5,-0.883326436333160
6,0.888432135909041
7,-0.893489351708350
8,0.898389940828964
9,-0.903439908552093
10,0.908453434450803
11,-0.913331274672221
12,0.918476423795040
13,-0.923441994589913
14,0.928412522499588
15,-0.933538209090406
16,0.938561301622027
17,-0.943499864984740
18,0.948524713338381
19,-0.953563753812376
20,0.958531982551033
21,-0.963588606426999
22,0.968570649005468
23,-0.973557243406053
24,0.978599503053781
25,-0.983654399661764
26,0.988691276069673
27,-0.993660327181904
28,0.998662719783272
29,-0.993686068729267
30,0.988630227867388
31,-0.983726596627951
32,0.978847717914568
33,-0.973833041963923
34,0.968831531852659
35,-0.963925915318024
36,0.958913620353213
37,-0.954009115965792
38,0.949071395822304
39,-0.944053455360680
40,0.939031166422336
41,-0.934067595551455
42,0.929067229264811
43,-0.924020266834923
44,0.919095727927977
45,-0.914096655862971
46,0.909009482004267
47,-0.904010915730651
48,0.899015827978005
49,-0.893963988659609
50,0.888941671766322
